gz,wd,zs,ll,gy,ry,pH
327.6 ,36.5 ,186 ,20 ,0.018 ,108.3 ,7.21 
329.5 ,36.9 ,200 ,20 ,0.026 ,109.4 ,7.20 
331.8 ,37.2 ,200 ,25 ,0.036 ,112.5 ,7.19 
330.7 ,37.0 ,200 ,25 ,0.031 ,111.2 ,7.18 
329.2 ,37.0 ,200 ,25 ,0.023 ,112.1 ,7.18 
331.6 ,36.9 ,200 ,25 ,0.035 ,109.1 ,7.18 
329.6 ,36.9 ,200 ,25 ,0.026 ,110.0 ,7.18 
331.3 ,36.9 ,200 ,25 ,0.033 ,108.3 ,7.18 
330.0 ,36.9 ,200 ,25 ,0.028 ,107.9 ,7.17 
330.6 ,37.0 ,200 ,25 ,0.030 ,107.0 ,7.17 
331.2 ,36.9 ,200 ,25 ,0.033 ,105.6 ,7.17 
328.9 ,37.0 ,200 ,25 ,0.024 ,106.4 ,7.17 
332.2 ,37.0 ,200 ,50 ,0.037 ,103.8 ,7.17 
331.0 ,36.9 ,200 ,50 ,0.033 ,102.7 ,7.17 
330.3 ,36.9 ,200 ,50 ,0.029 ,102.4 ,7.17 
328.8 ,36.9 ,200 ,50 ,0.023 ,102.1 ,7.16 
330.5 ,36.9 ,200 ,50 ,0.030 ,100.4 ,7.16 
332.3 ,36.9 ,200 ,50 ,0.038 ,98.2 ,7.16 
331.4 ,36.9 ,200 ,50 ,0.034 ,96.9 ,7.16 
330.3 ,36.9 ,200 ,50 ,0.030 ,96.2 ,7.16 
329.6 ,36.9 ,200 ,50 ,0.026 ,95.6 ,7.16 
329.6 ,36.9 ,200 ,50 ,0.026 ,93.6 ,7.16 
331.1 ,36.9 ,200 ,50 ,0.033 ,91.1 ,7.16 
331.7 ,36.9 ,200 ,50 ,0.036 ,88.7 ,7.16 
330.6 ,37.0 ,200 ,50 ,0.031 ,87.4 ,7.16 
329.8 ,37.0 ,200 ,50 ,0.027 ,85.8 ,7.15 
328.9 ,37.0 ,200 ,50 ,0.024 ,83.4 ,7.15 
329.8 ,37.0 ,200 ,50 ,0.027 ,80.1 ,7.15 
331.1 ,37.0 ,200 ,50 ,0.032 ,77.1 ,7.15 
332.3 ,37.0 ,200 ,50 ,0.038 ,74.2 ,7.15 
330.8 ,36.9 ,200 ,50 ,0.031 ,71.9 ,7.14 
330.1 ,36.9 ,200 ,50 ,0.028 ,68.8 ,7.14 
329.5 ,36.9 ,200 ,50 ,0.026 ,65.6 ,7.14 
329.9 ,36.9 ,200 ,50 ,0.028 ,61.7 ,7.14 
332.0 ,36.9 ,200 ,50 ,0.037 ,56.5 ,7.14 
331.5 ,37.0 ,200 ,50 ,0.034 ,51.7 ,7.13 
330.0 ,37.0 ,200 ,50 ,0.028 ,48.2 ,7.13 
329.5 ,37.0 ,200 ,50 ,0.026 ,43.9 ,7.13 
332.4 ,36.9 ,200 ,50 ,0.032 ,41.0 ,7.13 
332.0 ,36.9 ,200 ,50 ,0.036 ,41.8 ,7.12 
329.9 ,36.9 ,200 ,50 ,0.028 ,40.7 ,7.12 
328.7 ,36.9 ,200 ,50 ,0.022 ,36.3 ,7.11 
329.9 ,36.9 ,200 ,50 ,0.028 ,29.4 ,7.11 
332.2 ,36.9 ,225 ,50 ,0.037 ,38.8 ,7.11 
330.9 ,37.0 ,225 ,50 ,0.032 ,46.0 ,7.10 
329.5 ,37.0 ,225 ,50 ,0.029 ,45.3 ,7.10 
